N,Impacto,Tiempo,densidadG,densidadH,nombreExperimento
36,0.0,435.42449999999997,baja,baja,GbajaHbaja
36,56.0,627.1408,baja,media,GbajaHmedia
36,167.0,929.9437,baja,alta,GbajaHalta
36,0.0,1831.429,media,baja,GmediaHbaja
36,0.0,2335.432,media,media,GmediaHmedia
36,25.0,3198.952,media,alta,GmediaHalta
36,0.0,5110.4349999999995,alta,baja,GaltaHbaja
36,0.0,5964.178,alta,media,GaltaHmedia
36,0.0,7426.1630000000005,alta,alta,GaltaHalta
37,0.0,479.5693,baja,baja,GbajaHbaja
37,57.0,695.4793000000001,baja,media,GbajaHmedia
37,165.0,999.2407,baja,alta,GbajaHalta
37,0.0,2233.5669999999996,media,baja,GmediaHbaja
37,0.0,2855.327,media,media,GmediaHmedia
37,23.0,3936.8190000000004,media,alta,GmediaHalta
37,0.0,6080.739000000001,alta,baja,GaltaHbaja
37,0.0,7106.425,alta,media,GaltaHmedia
37,0.0,8841.16,alta,alta,GaltaHalta
38,0.0,462.3537,baja,baja,GbajaHbaja
38,67.0,643.5024000000001,baja,media,GbajaHmedia
38,180.0,961.8744999999999,baja,alta,GbajaHalta
38,0.0,2426.4809999999998,media,baja,GmediaHbaja
38,0.0,3069.811,media,media,GmediaHmedia
38,29.0,4323.639000000001,media,alta,GmediaHalta
38,0.0,5936.982000000001,alta,baja,GaltaHbaja
38,0.0,6906.8499999999985,alta,media,GaltaHmedia
38,0.0,8799.827000000001,alta,alta,GaltaHalta
39,0.0,589.318,baja,baja,GbajaHbaja
39,59.0,824.6758999999998,baja,media,GbajaHmedia
39,177.0,1205.584,baja,alta,GbajaHalta
39,0.0,2433.971,media,baja,GmediaHbaja
39,0.0,3061.8280000000004,media,media,GmediaHmedia
39,30.0,4341.918000000001,media,alta,GmediaHalta
39,0.0,6349.968999999999,alta,baja,GaltaHbaja
39,0.0,7520.579999999999,alta,media,GaltaHmedia
39,0.0,9611.643,alta,alta,GaltaHalta
40,0.0,625.8872,baja,baja,GbajaHbaja
40,68.0,864.854,baja,media,GbajaHmedia
40,194.0,1254.9650000000001,baja,alta,GbajaHalta
40,0.0,2879.919,media,baja,GmediaHbaja
40,0.0,3661.3269999999998,media,media,GmediaHmedia
40,30.0,5144.477000000001,media,alta,GmediaHalta
40,0.0,7795.923000000001,alta,baja,GaltaHbaja
40,0.0,9091.742999999999,alta,media,GaltaHmedia
40,0.0,11369.78,alta,alta,GaltaHalta
